id,platform,name,date,type,subject,questions,marks,time,syllabus,link,remarks,status,marks_obtained,potential_marks
ZE058,Gate At Zeal,Round 1 Test 8,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE059,Gate At Zeal,Round 1 Test 9,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE060,Gate At Zeal,Round 1 Test 10,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE061,Gate At Zeal,Round 2 Test 1,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE062,Gate At Zeal,Round 2 Test 2,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE063,Gate At Zeal,Round 2 Test 3,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE064,Gate At Zeal,Round 2 Test 4,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE065,Gate At Zeal,Round 2 Test 5,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE066,Gate At Zeal,Round 2 Test 6,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE067,Gate At Zeal,Round 2 Test 7,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE068,Gate At Zeal,Round 2 Test 8,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE069,Gate At Zeal,Round 2 Test 9,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE070,Gate At Zeal,Round 2 Test 10,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus,,,Not Started,,
ZE071,Gate At Zeal,Round 3 (Finale) Test 1,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE072,Gate At Zeal,Round 3 (Finale) Test 2,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE073,Gate At Zeal,Round 3 (Finale) Test 3,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE074,Gate At Zeal,Round 3 (Finale) Test 4,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE075,Gate At Zeal,Round 3 (Finale) Test 5,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE076,Gate At Zeal,Round 3 (Finale) Test 6,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE077,Gate At Zeal,Round 3 (Finale) Test 7,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE078,Gate At Zeal,Round 3 (Finale) Test 8,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE079,Gate At Zeal,Round 3 (Finale) Test 9,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE080,Gate At Zeal,Round 3 (Finale) Test 10,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE081,Gate At Zeal,Round 3 (Finale) Test 11,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
ZE082,Gate At Zeal,Round 3 (Finale) Test 12,,Mock,Full Syllabus,65,100,180,Complete GATE CSE Syllabus - Final Round,,,Not Started,,
